timestamp_utc,experiment,model_family,feature_set,with_class_weight,search_auc,final_auc,public_lb,private_lb,oof_corr_to_best,submission_path,summary_path,notes
2026-03-22T16:17:48.998901+00:00,exp003_blend_features,,,,0.935472,0.935963,0.941440,,,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp003_blend_features/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp003_blend_features/best_run_summary.json,Best rough CatBoost screen so far; use richer blend-style features with CatBoost only.
2026-03-22T22:36:29.445776+00:00,exp008_lightgbm_onehot_screen,lightgbm,blend,True,0.929946,0.929946,,,0.981886,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp008_lightgbm_onehot_screen/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp008_lightgbm_onehot_screen/best_run_summary.json,"Cheap LightGBM screen; reduced folds/seeds, shorter early stop, and capped threads before full promotion."
2026-03-22T22:54:47.984061+00:00,exp009_xgboost_onehot_screen,xgboost,blend,True,0.930315,0.930315,,,0.982071,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp009_xgboost_onehot_screen/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp009_xgboost_onehot_screen/best_run_summary.json,"Cheap XGBoost screen; reduced folds/seeds, shorter early stop, and capped threads before full promotion."
2026-03-22T22:57:48.203866+00:00,exp007_catboost_seedbag_screen,catboost,blend,True,,0.933500,,,0.993682,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp007_catboost_seedbag_screen/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp007_catboost_seedbag_screen/best_run_summary.json,Cheap screen for CatBoost seed bagging; reduced folds/seeds and capped threads before promoting to full exp007.
2026-03-22T22:58:56.789569+00:00,exp011_screen_blend_audit,blend,mixed,False,0.935978,0.935978,,,0.999960,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp011_screen_blend_audit/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp011_screen_blend_audit/best_run_summary.json,"Blend of exp003_blend_features, exp008_lightgbm_onehot_screen, exp009_xgboost_onehot_screen"
2026-03-23T01:46:22.057257+00:00,exp010_blend_bucket_features_screen,catboost,blend_buckets,True,0.934140,0.934140,,,0.987470,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp010_blend_bucket_features_screen/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp010_blend_bucket_features_screen/best_run_summary.json,Cheap screen for bucketed blend CatBoost features before promoting to the full exp010 run.
2026-03-23T02:48:36.372818+00:00,exp012_blend_bucket_features_fixed,catboost,blend_buckets,True,,0.936384,0.947210,,0.992733,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp012_blend_bucket_features_fixed/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp012_blend_bucket_features_fixed/best_run_summary.json,Fixed-param promotion of the current best partial exp010 search snapshot for full 5-fold and 3-seed evaluation.
2026-03-23T06:41:28.820414+00:00,exp013_blend_exp012_exp003,blend,mixed,False,0.936734,0.936734,0.945880,,0.998676,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp013_blend_exp012_exp003/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp013_blend_exp012_exp003/best_run_summary.json,"Blend of exp012_blend_bucket_features_fixed, exp003_blend_features"
2026-03-23T06:42:16.305106+00:00,exp014_blend_exp012_diverse,blend,mixed,False,0.936732,0.936732,,,0.998526,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp014_blend_exp012_diverse/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp014_blend_exp012_diverse/best_run_summary.json,"Blend of exp012_blend_bucket_features_fixed, exp009_xgboost_onehot_screen, exp008_lightgbm_onehot_screen, exp003_blend_features"
2026-03-23T12:45:23.364063+00:00,exp010_blend_bucket_features,catboost,blend_buckets,True,0.936294,0.936518,0.946850,,0.998001,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp010_blend_bucket_features/submission.csv,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/logs/exp010_blend_bucket_features/best_run_summary.json,Add sign-aware balance and bucketed business-state features on top of the blend feature set.
